1350,Proanthocyanidin (dimer-A linkage),MG
1351,Proanthocyanidin monomers,MG
1352,Proanthocyanidin dimers,MG
1353,Proanthocyanidin trimers,MG
1354,Proanthocyanidin 4-6mers,MG
1355,Proanthocyanidin 7-10mers,MG
1356,Proanthocyanidin polymers (>10mers),MG
1357,Delphinidin,MG
1358,Malvidin,MG
1359,Pelargonidin,MG
1360,Peonidin,MG
1361,Petunidin,MG
1362,"Flavans, total",MG
1363,"Catechins, total",MG
1364,Catechin,MG
1365,Epigallocatechin,MG
1366,Epicatechin,MG
1367,Epicatechin-3-gallate,MG
1368,Epigallocatechin-3-gallate,MG
1369,"Procyanidins, total",MG
1370,Theaflavins,MG
1371,Thearubigins,MG
1372,"Flavanones, total",MG
1373,Eriodictyol,MG
1374,Hesperetin,MG
1375,Isosakuranetin,MG
1376,Liquiritigenin,MG
1377,Naringenin,MG
1378,"Flavones, total",MG
1379,Apigenin,MG
1380,Chrysoeriol,MG
1381,Diosmetin,MG
1382,Luteolin,MG
1383,Nobiletin,MG
1384,Sinensetin,MG
1385,Tangeretin,MG
1386,"Flavonols, total",MG
1387,Isorhamnetin,MG
1388,Kaempferol,MG
1389,Limocitrin,MG
1390,Myricetin,MG
1391,Quercetin,MG
1392,Theogallin,MG
1393,"Theaflavin -3,3' -digallate",MG
1394,Theaflavin -3' -gallate,MG
1395,Theaflavin -3 -gallate,MG
1396,(+) -Gallo catechin,MG
1397,(+)-Catechin 3-gallate,MG
1398,(+)-Gallocatechin 3-gallate,MG
1399,Mannose,G
1400,Triose,G
1401,Tetrose,G
1402,Other Saccharides,G
1403,Inulin,G
1404,"PUFA 18:3 n-3 c,c,c (ALA)",G
1405,PUFA 20:3 n-3,G
1406,PUFA 20:3 n-6,G
1407,PUFA 20:4 n-3,G
1408,PUFA 20:4 n-6,G
1409,PUFA 18:3i,G
1410,PUFA 21:5,G
1411,PUFA 22:4,G
1412,MUFA 18:1-11 t (18:1t n-7),G
1413,MUFA 18:1-11 c (18:1c n-7),G
1414,PUFA 20:3 n-9,G
2000,"Sugars, total including NLEA",G
2003,SFA 5:0,G
2004,SFA 7:0,G
2005,SFA 9:0,G
2006,SFA 21:0,G
2007,SFA 23:0,G
2008,MUFA 12:1,G
2009,MUFA 14:1 c,G
2010,MUFA 17:1 c,G
2011,TFA 17:1 t,G
2012,MUFA 20:1 c,G
2013,TFA 20:1 t,G
2014,MUFA 22:1 n-9,G
2015,MUFA 22:1 n-11,G
2016,PUFA 18:2 c,G
2017,TFA 18:2 t,G
2018,PUFA 18:3 c,G
2019,TFA 18:3 t,G
2020,PUFA 20:3 c,G
2021,PUFA 22:3,G
2022,PUFA 20:4c,G
2023,PUFA 20:5c,G
2024,PUFA 22:5 c,G
2025,PUFA 22:6 c,G
2026,PUFA 20:2 c,G
2027,Proximate,G
2028,trans-beta-Carotene,UG
2029,trans-Lycopene,UG
2032,"Cryptoxanthin, alpha",UG
2033,Total dietary fiber (AOAC 2011.25),G
2034,Insoluble dietary fiber (IDF),G
2035,Soluble dietary fiber (SDFP+SDFS),G
2036,Soluble dietary fiber (SDFP),G
2037,Soluble dietary fiber (SDFS),G
2038,High Molecular Weight Dietary Fiber (HMWDF),G
2039,Carbohydrates,G
2040,Other carotenoids,UG
2041,Tocopherols and tocotrienols,MG
2042,Amino acids,G
2043,Minerals,MG
2044,Lipids,G
2045,Proximates,G
2046,Vitamins and Other Components,G
2047,Energy (Atwater General Factors),KCAL
2048,Energy (Atwater Specific Factors),KCAL
